date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.03369,0.409358,-0.025473,-0.012566,0.497719,41.345858,,380.240941,3099.564
2026-01-22,-0.03369,0.409198,-0.025473,-0.012566,0.497719,39.781394,,383.015897,3099.564
2026-01-23,-0.03369,0.409719,-0.025473,-0.012566,0.497719,42.859983,,377.685079,3099.564
2026-01-26,-0.03369,0.41099,-0.025473,-0.012566,0.49772,42.114576,,379.875822,3099.564
2026-01-27,-0.03369,0.410696,-0.025473,-0.012566,0.497719,41.417738,,380.971179,3099.564
2026-01-28,-0.03369,0.410825,-0.025473,-0.012566,0.497719,42.888079,,378.342304,3099.564
2026-01-29,-0.03369,0.41458,-0.025473,-0.01249,0.497728,39.200011,,387.616477,3099.564
2026-01-30,-0.03369,0.41529,-0.025473,-0.012566,0.49773,38.981865,,388.492769,3099.564
2026-02-02,-0.03369,0.415137,-0.025473,-0.012587,0.49773,35.665938,,394.553826,3099.564
2026-02-03,-0.03369,0.415814,-0.025473,-0.012609,0.497731,34.263278,,397.620888,3099.564
2026-02-04,-0.03369,0.414313,-0.025473,-0.012624,0.497732,30.054965,,404.412211,3099.564
2026-02-05,-0.03369,0.413637,-0.025473,-0.012643,0.497733,31.536545,,401.199095,3099.564
2026-02-06,-0.03369,0.412929,-0.025473,-0.012624,0.497732,25.004329,,412.810065,3099.564
2026-02-09,-0.03369,0.414125,-0.025473,-0.012624,0.497733,25.930835,,411.933773,3099.564
2026-02-10,-0.03369,0.413611,-0.025473,-0.012609,0.497732,29.754406,,404.485224,3099.564
2026-02-11,-0.03369,0.414349,-0.025472,-0.01261,0.497794,36.088184,,393.239374,3099.564
2026-02-12,-0.03369,0.415715,-0.026601,-0.013738,0.49775,41.803112,,383.52707,3099.564
2026-02-13,-0.03369,0.416916,-0.027101,-0.014215,0.497729,42.109312,,383.746136,3099.564
2026-02-17,-0.03369,0.416647,-0.027101,-0.014215,0.49773,41.269867,,385.133628,3099.564
2026-02-18,-0.03369,0.417388,-0.027101,-0.014215,0.49773,39.105471,,389.661167,3099.564
2026-02-19,-0.03369,0.417702,-0.027101,-0.014215,0.49773,41.526051,,385.352694,3099.564
2026-02-20,-0.03369,0.418141,-0.027101,-0.014215,0.49773,40.548052,,387.470424,3099.564
2026-02-23,-0.03369,0.41826,-0.027101,-0.014237,0.497731,48.368118,,372.938446,3099.564
2026-02-24,-0.03369,0.420363,-0.028047,-0.015183,0.49773,51.659789,,368.1188,3099.564
2026-02-25,-0.035373,0.420198,-0.028047,-0.015183,0.497729,46.618075,,377.465985,3099.564
2026-02-26,-0.035373,0.421146,-0.028047,-0.015199,0.497731,44.575088,,381.920512,3099.564
2026-02-27,-0.035373,0.419935,-0.028048,-0.015218,0.497733,53.77514,,363.883367,3099.564
