date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.025043,0.435088,-0.025587,-0.013838,0.473559,188.617687,,115.174781,3105.953211
2026-01-23,-0.025043,0.437735,-0.025587,-0.013859,0.473561,190.361913,,115.704637,3127.676176
2026-01-26,-0.025043,0.437596,-0.025587,-0.013838,0.47356,191.754733,,117.256572,3155.307812
2026-01-27,-0.025043,0.437616,-0.025587,-0.013838,0.473561,190.94353,,119.570242,3160.104405
2026-01-28,-0.025043,0.439931,-0.025587,-0.01387,0.473563,193.304645,,121.3135,3197.663867
2026-01-29,-0.025043,0.438193,-0.025587,-0.01387,0.473562,192.711949,,120.442818,3187.054394
2026-01-30,-0.025043,0.437983,-0.025587,-0.013838,0.473561,191.693597,,121.871879,3183.851062
2026-02-02,-0.025043,0.439098,-0.025587,-0.013838,0.473561,189.144495,,122.246328,3152.840051
2026-02-03,-0.025043,0.439104,-0.025587,-0.013838,0.473562,188.652269,,121.119529,3139.411366
2026-02-04,-0.025043,0.439697,-0.025587,-0.013838,0.473562,189.670534,,119.992006,3144.048094
2026-02-05,-0.025043,0.439784,-0.025587,-0.013798,0.47356,188.734118,,121.228634,3140.189441
2026-02-06,-0.025043,0.438205,-0.025592,-0.013812,0.472698,187.362367,,122.56287,3133.864929
2026-02-09,-0.025043,0.436775,-0.025592,-0.013845,0.4727,187.13469,,124.659486,3146.613551
2026-02-10,-0.025043,0.434113,-0.025592,-0.013845,0.472699,189.007255,,123.676552,3167.440129
2026-02-11,-0.025043,0.434569,-0.025592,-0.013845,0.472698,189.057779,,123.088386,3163.598921
2026-02-12,-0.025043,0.433216,-0.025592,-0.013812,0.472697,189.456823,,121.47586,3159.992119
2026-02-13,-0.025043,0.435184,-0.025588,-0.013798,0.473565,191.063494,,118.495263,3157.966524
2026-02-16,-0.025043,0.436685,-0.025587,-0.013798,0.473563,190.222288,,120.393915,3157.704523
2026-02-17,-0.025043,0.436347,-0.025588,-0.013798,0.473563,188.853131,,122.240346,3153.026877
2026-02-18,-0.025043,0.436715,-0.025588,-0.013798,0.473564,187.636338,,124.748995,3153.550246
2026-02-19,-0.025043,0.443189,-0.025588,-0.013838,0.473566,187.654305,,123.545946,3136.783739
2026-02-20,-0.025043,0.442939,-0.025588,-0.013838,0.473566,186.71276,,124.50925,3131.541173
2026-02-23,-0.025043,0.4427,-0.025588,-0.01387,0.473567,186.967028,,126.683569,3148.99694
2026-02-24,-0.025043,0.441915,-0.025588,-0.01387,0.473566,187.156256,,124.441357,3138.115316
2026-02-25,-0.025043,0.44231,-0.025588,-0.01387,0.473566,185.630869,,126.730423,3133.163615
2026-02-26,-0.025043,0.443102,-0.025588,-0.01387,0.473567,186.400307,,127.067807,3143.788313
2026-02-27,-0.025043,0.443105,-0.025588,-0.013838,0.473566,186.749626,,125.8828,3140.559922
