date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.040364,0.505718,-0.022889,-0.01247,0.481392,3.495706,,288.496232,1683.58
2026-01-22,-0.040364,0.504739,-0.022889,-0.01247,0.481392,3.009759,,288.992699,1683.58
2026-01-23,-0.040364,0.504431,-0.022889,-0.012441,0.481391,7.864806,,278.164359,1683.58
2026-01-26,-0.040364,0.505008,-0.023912,-0.013464,0.481387,6.222957,,282.093673,1683.58
2026-01-27,-0.040364,0.505129,-0.023912,-0.013464,0.481388,6.549349,,281.445846,1683.58
2026-01-28,-0.040364,0.504872,-0.023912,-0.013464,0.481389,5.505231,,283.592146,1683.58
2026-01-29,-0.040364,0.506397,-0.023266,-0.013165,0.469695,5.448022,,284.594152,1683.58
2026-01-30,-0.040364,0.506747,-0.023266,-0.013165,0.469695,6.186589,,283.168329,1683.58
2026-02-02,-0.040364,0.506938,-0.023266,-0.013165,0.469694,4.736945,,286.474057,1683.58
2026-02-03,-0.040364,0.506888,-0.023266,-0.013165,0.469694,5.731625,,284.252076,1683.58
2026-02-04,-0.040364,0.506596,-0.023266,-0.013165,0.469694,9.1856,,276.475171,1683.58
2026-02-05,-0.040364,0.507325,-0.023472,-0.013371,0.469692,12.511695,,269.54588,1683.58
2026-02-06,-0.040364,0.508581,-0.023472,-0.013343,0.469689,7.575961,,281.152215,1683.58
2026-02-09,-0.040364,0.51028,-0.023472,-0.013343,0.469692,5.987358,,285.653676,1683.58
2026-02-10,-0.040364,0.510228,-0.023472,-0.013343,0.469691,5.241263,,287.279287,1683.58
2026-02-11,-0.040364,0.510622,-0.023472,-0.013371,0.469693,5.944909,,285.947325,1683.58
2026-02-12,-0.040364,0.511471,-0.023472,-0.013371,0.469693,11.616118,,273.826361,1683.58
2026-02-13,-0.040364,0.514053,-0.02379,-0.013688,0.469688,12.18672,,274.004975,1683.58
2026-02-17,-0.040364,0.514188,-0.02379,-0.01366,0.469688,10.745989,,277.304623,1683.58
2026-02-18,-0.040364,0.515339,-0.02379,-0.013688,0.469689,8.651828,,282.65976,1683.58
2026-02-19,-0.040364,0.515789,-0.02379,-0.013688,0.46969,11.071974,,277.489297,1683.58
2026-02-20,-0.040364,0.515958,-0.023789,-0.01366,0.469665,10.361733,,279.181498,1683.58
2026-02-23,-0.040364,0.515891,-0.023789,-0.013688,0.46968,14.37992,,270.121058,1683.58
2026-02-24,-0.040364,0.516195,-0.02379,-0.013688,0.469687,13.113423,,273.136166,1683.58
2026-02-25,-0.040017,0.515839,-0.02379,-0.01372,0.469692,10.447177,,278.921162,1683.58
2026-02-26,-0.040017,0.5166,-0.02379,-0.013764,0.469695,9.61641,,281.227895,1683.58
2026-02-27,-0.040017,0.515482,-0.02379,-0.013828,0.469698,18.696079,,260.209972,1683.58
