date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-16,-0.029135,0.485476,-0.01379,-0.007745,0.29072,106.666595,,158.044333,2268.485609
2026-01-19,-0.029135,0.488382,-0.013252,-0.007524,0.283842,106.495871,,158.644466,2264.600094
2026-01-20,-0.029135,0.487531,-0.013789,-0.007707,0.290711,106.851588,,157.224889,2262.232418
2026-01-21,-0.029135,0.487725,-0.013788,-0.007706,0.290693,106.580005,,157.216613,2258.438094
2026-01-22,-0.029135,0.487658,-0.013252,-0.007524,0.283838,105.9449,,159.156599,2262.050401
2026-01-23,-0.029135,0.487619,-0.013252,-0.007524,0.283835,106.08767,,156.512943,2248.329785
2026-01-26,-0.029135,0.487168,-0.013251,-0.007524,0.283833,104.107722,,156.07326,2221.799186
2026-01-27,-0.029135,0.487216,-0.013789,-0.007707,0.290716,101.928572,,160.295355,2219.370716
2026-01-28,-0.029135,0.489332,-0.013791,-0.007746,0.290732,102.23911,,156.282247,2195.784604
2026-01-29,-0.029135,0.489893,-0.013789,-0.007707,0.290716,101.648424,,157.686903,2195.632802
2026-01-30,-0.029135,0.491639,-0.01379,-0.007707,0.290719,101.145675,,159.817467,2198.638082
2026-02-02,-0.029135,0.491935,-0.01325,-0.007524,0.283817,100.981101,,163.764246,2219.097509
2026-02-03,-0.027485,0.488499,-0.013409,-0.007364,0.290733,100.743807,,163.333756,2220.068933
2026-02-04,-0.027485,0.488953,-0.013409,-0.007325,0.290733,100.243886,,163.87054,2216.122625
2026-02-05,-0.027485,0.489168,-0.013409,-0.007364,0.290733,102.438841,,160.73155,2224.713276
2026-02-06,-0.028696,0.48945,-0.013561,-0.007478,0.290715,101.737009,,165.783392,2245.081694
2026-02-09,-0.028696,0.49143,-0.013562,-0.007479,0.290728,100.611003,,166.349479,2230.541457
2026-02-10,-0.028696,0.491132,-0.013562,-0.007479,0.290725,100.769646,,163.83817,2218.399293
2026-02-11,-0.028696,0.491507,-0.01356,-0.00744,0.290698,101.222998,,164.350012,2226.35252
2026-02-12,-0.028696,0.488259,-0.013025,-0.007205,0.28378,103.111748,,159.588792,2228.079697
2026-02-13,-0.028696,0.491133,-0.013383,-0.007563,0.283789,105.214046,,156.103588,2228.689799
2026-02-16,-0.028696,0.489084,-0.013383,-0.007562,0.283785,103.963397,,157.37372,2224.197258
