date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.03077,0.40771,-0.027717,-0.015704,0.626252,0.0,,814.611682,4062.462
2026-01-22,-0.03077,0.40559,-0.027683,-0.015614,0.625627,0.0,,818.899953,4062.462
2026-01-23,-0.03077,0.405146,-0.027717,-0.01563,0.626248,0.0,,802.960482,4062.462
2026-01-26,-0.03077,0.405532,-0.027717,-0.01563,0.626245,0.0,,811.914649,4062.462
2026-01-27,-0.03077,0.4055,-0.027717,-0.015629,0.626245,0.0,,809.945786,4062.462
2026-01-28,-0.03077,0.40525,-0.027717,-0.01563,0.626245,0.0,,811.186398,4062.462
2026-01-29,-0.03077,0.407804,-0.027399,-0.015743,0.630812,0.0,,826.424697,4062.462
2026-01-30,-0.03077,0.407825,-0.027676,-0.015616,0.625698,0.0,,824.995273,4062.462
2026-02-02,-0.03077,0.407835,-0.027676,-0.015616,0.625698,0.0,,831.063596,4062.462
2026-02-03,-0.03077,0.40788,-0.027676,-0.015616,0.625698,0.0,,849.16066,4062.462
2026-02-04,-0.03077,0.405537,-0.027682,-0.015672,0.625603,0.0,,855.687432,4062.462
2026-02-05,-0.03077,0.40532,-0.027682,-0.015709,0.625603,0.0,,836.511571,4062.462
2026-02-06,-0.03077,0.406703,-0.027682,-0.015672,0.625603,0.0,,869.523221,4062.462
2026-02-09,-0.03077,0.409668,-0.027682,-0.015672,0.625603,0.0,,868.714144,4062.462
2026-02-10,-0.03077,0.408912,-0.027682,-0.015613,0.625603,0.0,,858.411461,4062.462
2026-02-11,-0.03077,0.409713,-0.027682,-0.015613,0.625603,0.0,,838.291623,4062.462
2026-02-12,-0.03077,0.411161,-0.027766,-0.015698,0.625603,0.0,,816.229917,4062.462
2026-02-13,-0.03077,0.412651,-0.028614,-0.016452,0.625602,0.0,,815.987112,4062.462
2026-02-17,-0.03077,0.412778,-0.028614,-0.016346,0.625602,0.0,,828.339567,4062.462
2026-02-18,-0.03077,0.41351,-0.028614,-0.016346,0.625603,0.0,,832.789653,4062.462
2026-02-19,-0.03077,0.413494,-0.028614,-0.016452,0.625603,0.0,,830.82079,4062.462
2026-02-20,-0.03077,0.413312,-0.028614,-0.016346,0.625602,0.0,,838.210715,4062.462
2026-02-23,-0.03077,0.413487,-0.028614,-0.016452,0.625603,0.0,,802.825663,4062.462
2026-02-24,-0.03077,0.414828,-0.028614,-0.016452,0.625603,0.0,,801.827692,4062.462
2026-02-25,-0.031383,0.415551,-0.028614,-0.016452,0.625603,0.0,,818.009886,4062.462
2026-02-26,-0.031383,0.416022,-0.028614,-0.016546,0.625603,0.0,,825.642534,4062.462
2026-02-27,-0.031383,0.41477,-0.028614,-0.016605,0.625603,0.0,,809.918789,4062.462
2026-03-02,-0.031383,0.441983,-0.028614,-0.016546,0.625603,0.0,,802.528947,4062.462
2026-03-03,-0.031383,0.441983,-0.028609,-0.016548,0.625693,0.0,,809.810967,4062.462
2026-03-04,-0.031383,0.441983,-0.028614,-0.016546,0.625601,0.0,,807.464562,4062.462
2026-03-05,-0.032008,0.449928,-0.028614,-0.016546,0.625601,0.0,,791.713821,4062.462
2026-03-06,-0.032008,0.449928,-0.027766,-0.015698,0.625601,0.0,,780.736962,4062.462
2026-03-09,-0.032008,0.449928,-0.027766,-0.015604,0.625601,0.0,,781.923662,4062.462
2026-03-10,-0.0296,0.426562,-0.027766,-0.015698,0.625602,0.0,,778.714187,4062.462
2026-03-11,-0.0296,0.426562,-0.027766,-0.015698,0.625602,0.0,,775.450719,4062.462
2026-03-12,-0.028389,0.423852,-0.027682,-0.015613,0.625602,0.0,,762.963528,4062.462
2026-03-13,-0.028389,0.423852,-0.027682,-0.015613,0.625602,0.0,,764.446863,4062.462
2026-03-16,-0.028389,0.423852,-0.027682,-0.015668,0.625602,0.0,,771.782794,4062.462
2026-03-17,-0.028389,0.423852,-0.027682,-0.01569,0.625603,0.0,,773.751658,4062.462
2026-03-18,-0.028389,0.423852,-0.027682,-0.01569,0.625602,0.0,,776.044069,4062.462
2026-03-19,-0.028389,0.423852,-0.027694,-0.015685,0.625383,0.0,,776.664416,4062.462
2026-03-20,-0.028389,0.423852,-0.027682,-0.015668,0.625602,0.0,,772.861591,4062.462
2026-03-23,-0.028389,0.423852,-0.027682,-0.015613,0.625602,0.0,,781.896666,4062.462
2026-03-24,-0.028389,0.423852,-0.027682,-0.015668,0.625602,0.0,,788.61225,4062.462
2026-03-25,-0.028389,0.423852,-0.027682,-0.015668,0.625602,0.0,,796.75734,4062.462
2026-03-26,-0.028389,0.423852,-0.027682,-0.015668,0.625602,0.0,,786.616472,4062.462
2026-03-27,-0.027323,0.410183,-0.027682,-0.015613,0.625601,0.0,,762.828627,4062.462
2026-03-30,-0.030552,0.444871,-0.027766,-0.015698,0.625601,0.0,,765.336847,4062.462
2026-03-31,-0.030552,0.444871,-0.027766,-0.015753,0.625602,0.0,,793.359053,4062.462
2026-04-01,-0.028033,0.421062,-0.027766,-0.015774,0.625602,0.0,,796.649436,4062.462
2026-04-02,-0.028033,0.421062,-0.027766,-0.015774,0.625602,0.0,,794.545754,4062.462
2026-04-06,-0.028033,0.421062,-0.027766,-0.015774,0.625603,0.0,,796.838248,4062.462
2026-04-07,-0.028033,0.421062,-0.027766,-0.015774,0.625602,0.0,,802.097412,4062.462
2026-04-08,-0.024529,0.411953,-0.027682,-0.015709,0.625603,0.0,,830.605064,4062.462
2026-04-09,-0.019795,0.395842,-0.026128,-0.014768,0.593589,0.0,,836.970021,4062.462
2026-04-10,-0.019795,0.395842,-0.026331,-0.015043,0.604629,0.0,,835.729409,4062.462
2026-04-13,-0.021911,0.428107,-0.02633,-0.014985,0.604625,0.0,,846.005096,4062.462
2026-04-14,-0.021911,0.428107,-0.02633,-0.014985,0.60462,0.0,,839.100699,4062.462
2026-04-15,-0.019878,0.422504,-0.022747,-0.012625,0.517699,0.0,,825.103095,4062.462
2026-04-16,-0.019878,0.422504,-0.022747,-0.012609,0.517693,0.0,,835.945218,4062.462
2026-04-17,-0.019878,0.422504,-0.022747,-0.012625,0.517695,0.0,,836.862199,4062.462
2026-04-20,-0.019878,0.422504,-0.022747,-0.012625,0.517696,0.0,,854.932266,4062.462
2026-04-21,-0.01848,0.411518,-0.018124,-0.008724,0.35632,0.0,,844.171133,4062.462
2026-04-22,-0.01848,0.411517,-0.018124,-0.00869,0.356319,0.0,,838.737061,4062.462
2026-04-23,-0.018563,0.427561,-0.018123,-0.008689,0.356291,0.0,,835.173362,4062.462
2026-04-24,-0.018563,0.42756,-0.018018,-0.00862,0.353917,0.0,,826.036257,4062.462
2026-04-27,-0.018563,0.427561,-0.018017,-0.008607,0.353897,0.0,,835.012598,4062.462
2026-04-28,-0.018563,0.42756,-0.018017,-0.008607,0.353897,0.0,,834.530308,4062.462
2026-04-29,-0.018563,0.427561,-0.018017,-0.008607,0.353897,0.0,,828.635375,4062.462
2026-04-30,-0.018563,0.427561,-0.018017,-0.008607,0.353896,0.0,,839.299814,4062.462
2026-05-01,-0.018563,0.42756,-0.018017,-0.008607,0.353897,0.0,,837.263368,4536.437
2026-05-04,-0.018563,0.427561,-0.018017,-0.008607,0.353897,0.0,,824.351671,4536.437
2026-05-05,-0.018563,0.42756,-0.018017,-0.008576,0.353895,0.0,,829.040816,4536.437
2026-05-06,-0.018563,0.427561,-0.018017,-0.008576,0.353894,0.0,,843.778129,4536.437
2026-05-07,-0.018563,0.427561,-0.018017,-0.008607,0.353895,0.0,,820.653933,4536.437
2026-05-08,-0.018563,0.427561,-0.018157,-0.008748,0.353894,0.0,,809.480416,4536.437
2026-05-11,-0.018563,0.427561,-0.018157,-0.008748,0.353893,0.0,,803.853425,4536.437
2026-05-12,-0.018563,0.427561,-0.018157,-0.008717,0.353891,0.0,,816.929454,4536.437
2026-05-13,-0.018563,0.427561,-0.018157,-0.008748,0.353892,0.0,,804.523303,4536.437
2026-05-14,-0.018563,0.427561,-0.018157,-0.008716,0.353889,0.0,,803.612279,4536.437
2026-05-15,-0.018563,0.42756,-0.018157,-0.008663,0.353888,0.0,,797.985289,4536.437
2026-05-18,-0.018563,0.42756,-0.018183,-0.008634,0.354467,0.0,,805.809498,4536.437
2026-05-19,-0.018563,0.427561,-0.018183,-0.008634,0.354467,0.0,,792.331559,4536.437
2026-05-20,-0.018563,0.42756,-0.018183,-0.008634,0.354465,0.0,,809.158887,4536.437
2026-05-21,-0.018563,0.427561,-0.018183,-0.008678,0.354469,0.0,,811.89196,4536.437
2026-05-22,-0.018563,0.42756,-0.018183,-0.008678,0.354469,0.0,,820.948721,4536.437
2026-05-26,-0.017748,0.418858,-0.018157,-0.008716,0.353875,0.0,,821.913306,4536.437
2026-05-27,-0.017748,0.418858,-0.018157,-0.008716,0.353875,0.0,,801.924174,4536.437
