date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-29,-0.046928,0.436084,-0.036921,-0.022056,0.563992,93.960459,,107.268059,1870.143107
2026-01-30,-0.046928,0.435742,-0.036921,-0.022116,0.563993,92.968721,,108.989312,1869.337162
2026-02-02,-0.046928,0.435293,-0.036921,-0.022116,0.563993,93.539436,,104.020672,1844.766322
2026-02-03,-0.046928,0.436787,-0.036921,-0.022116,0.563992,90.247545,,110.208124,1841.906253
2026-02-04,-0.046928,0.441151,-0.036921,-0.02214,0.563994,88.119434,,114.552948,1837.697476
2026-02-05,-0.046928,0.439181,-0.035556,-0.020608,0.524049,88.426414,,111.525398,1824.604112
2026-02-06,-0.046928,0.43976,-0.035556,-0.020571,0.524045,86.651542,,115.324457,1826.152005
2026-02-09,-0.046928,0.441793,-0.035706,-0.021309,0.542831,84.909125,,118.305079,1820.80984
2026-02-10,-0.046928,0.442086,-0.036572,-0.02216,0.564504,83.450603,,123.230114,1833.77788
2026-02-12,-0.046928,0.442398,-0.036573,-0.02216,0.564506,84.641861,,126.318791,1868.032185
2026-02-13,-0.046928,0.442334,-0.036572,-0.02216,0.564506,86.419192,,123.693777,1873.508341
2026-02-16,-0.046928,0.443033,-0.036572,-0.022159,0.564502,89.873708,,117.187815,1874.023372
2026-02-17,-0.04571,0.446663,-0.036074,-0.022171,0.54564,92.020201,,112.148774,1863.897537
2026-02-18,-0.04571,0.447968,-0.036767,-0.022863,0.545639,92.162348,,113.015906,1869.495818
2026-02-19,-0.04571,0.447641,-0.036767,-0.022882,0.545639,88.993698,,116.24696,1850.836437
2026-02-20,-0.04571,0.448377,-0.036767,-0.022902,0.54564,89.86685,,113.803403,1845.265621
2026-02-24,-0.04571,0.448384,-0.036767,-0.022902,0.54564,92.151459,,110.290617,1851.530523
2026-02-25,-0.04571,0.446841,-0.036767,-0.022902,0.545639,93.565963,,104.878623,1836.742475
2026-02-26,-0.04571,0.440378,-0.037209,-0.023344,0.545639,89.994006,,110.020634,1832.979668
2026-02-27,-0.04571,0.440048,-0.037278,-0.022924,0.535837,88.790843,,112.914064,1836.990058
2026-03-02,-0.04571,0.50823,-0.037278,-0.022924,0.535837,97.823926,,106.998326,1827.912551
2026-03-03,-0.04571,0.50823,-0.037662,-0.02329,0.535834,99.630653,,101.722377,1820.659317
2026-03-04,-0.049686,0.527829,-0.038093,-0.023701,0.535832,103.707837,,95.462293,1814.704794
2026-03-05,-0.052214,0.533635,-0.038605,-0.024192,0.535617,102.118939,,102.056692,1823.837098
2026-03-06,-0.052214,0.533635,-0.038614,-0.024223,0.53581,101.480246,,102.35586,1817.457938
2026-03-09,-0.052214,0.533635,-0.038615,-0.024243,0.535835,103.659145,,95.367382,1807.213577
2026-03-10,-0.05682,0.541684,-0.040851,-0.026069,0.563984,102.951135,,99.979209,1813.842454
2026-03-11,-0.05682,0.541684,-0.040851,-0.026089,0.563989,103.410756,,98.310215,1810.791064
2026-03-12,-0.05682,0.541684,-0.040851,-0.026069,0.563987,103.868983,,95.147958,1799.851818
2026-03-13,-0.055229,0.535148,-0.039125,-0.025221,0.545635,103.54694,,94.286,1798.370853
2026-03-16,-0.055229,0.535148,-0.039125,-0.025198,0.545635,103.58085,,93.443521,1794.291001
2026-03-17,-0.055229,0.535148,-0.039125,-0.025198,0.545635,103.652129,,94.253601,1799.512508
2026-03-18,-0.055229,0.535148,-0.039125,-0.025221,0.545635,102.541948,,97.307092,1801.958606
2026-03-19,-0.055229,0.535148,-0.039125,-0.025221,0.545635,103.073607,,94.152796,1791.74211
2026-03-23,-0.057386,0.541413,-0.040851,-0.026069,0.563993,105.413856,,91.08921,1798.054608
2026-03-24,-0.058714,0.542251,-0.040851,-0.026069,0.563993,104.491423,,95.07356,1806.620551
2026-03-25,-0.058714,0.542251,-0.040851,-0.02609,0.563994,102.633439,,98.968674,1803.900072
2026-03-26,-0.058714,0.542251,-0.040851,-0.02609,0.563994,102.547161,,97.741635,1796.362325
2026-03-27,-0.058714,0.542251,-0.040851,-0.026069,0.563994,102.738422,,96.603734,1792.763106
2026-03-30,-0.058714,0.542251,-0.040851,-0.026046,0.563993,103.501271,,93.665833,1786.833248
2026-03-31,-0.058819,0.541386,-0.040851,-0.025874,0.563993,103.991007,,93.161483,1791.226412
2026-04-01,-0.058819,0.541386,-0.040851,-0.025589,0.563992,101.420923,,101.95567,1805.48143
2026-04-02,-0.058819,0.541386,-0.040851,-0.02559,0.563994,102.554576,,99.033634,1804.241115
2026-04-03,-0.058819,0.541386,-0.040661,-0.025557,0.56663,101.753484,,99.209921,1795.157208
2026-04-06,-0.058819,0.541386,-0.040661,-0.025709,0.566631,101.524218,,99.137652,1791.910232
2026-04-07,-0.058819,0.541386,-0.040661,-0.025709,0.566631,101.172202,,100.178367,1792.998823
2026-04-08,-0.058819,0.541386,-0.040661,-0.025709,0.566631,99.141756,,107.061999,1803.922871
2026-04-09,-0.058819,0.541386,-0.040661,-0.025709,0.566631,100.593372,,103.781073,1804.764279
2026-04-10,-0.058819,0.541386,-0.040661,-0.025709,0.566631,99.932946,,104.33552,1799.43318
2026-04-13,-0.057327,0.543193,-0.040086,-0.02542,0.566631,100.078624,,103.183055,1793.032555
2026-04-14,-0.057327,0.543193,-0.040086,-0.02542,0.566631,100.016374,,104.330136,1798.280326
2026-04-15,-0.057327,0.543193,-0.040085,-0.025592,0.566632,99.213858,,107.149404,1803.05933
2026-04-16,-0.052439,0.513681,-0.039533,-0.025063,0.566632,96.866368,,105.85937,1802.86641
2026-04-17,-0.043207,0.450295,-0.039078,-0.024608,0.566632,91.281509,,104.004513,1798.494978
2026-04-20,-0.03665,0.438235,-0.036052,-0.022048,0.521236,90.091241,,104.134334,1798.879352
2026-04-21,-0.03665,0.438235,-0.035953,-0.021958,0.519606,91.289867,,102.370812,1802.469237
2026-04-22,-0.032919,0.420236,-0.033829,-0.02034,0.491827,89.750247,,101.181797,1796.486316
2026-04-23,-0.032919,0.420236,-0.033829,-0.02019,0.491823,90.753851,,99.105926,1795.190939
2026-04-24,-0.03102,0.411116,-0.033385,-0.019746,0.491825,90.231403,,98.105696,1792.280473
2026-04-27,-0.03102,0.411116,-0.033385,-0.019498,0.491823,88.912412,,100.823869,1794.201007
2026-04-28,-0.03102,0.411116,-0.033385,-0.019498,0.491823,86.23252,,106.134502,1796.666837
2026-04-30,-0.03102,0.411116,-0.031615,-0.016308,0.406189,87.552253,,102.328823,1787.39081
2026-05-01,-0.03102,0.411116,-0.031615,-0.016103,0.406187,89.491844,,104.139106,1823.895227
2026-05-07,-0.03102,0.411116,-0.031615,-0.015994,0.406186,87.886664,,107.910716,1829.37245
2026-05-08,-0.03102,0.411116,-0.031615,-0.016103,0.406189,89.01247,,105.279803,1825.628041
2026-05-11,-0.03102,0.411116,-0.031615,-0.016103,0.406189,87.99376,,107.110281,1825.290465
2026-05-12,-0.03102,0.411116,-0.031615,-0.016103,0.406188,87.11283,,108.096895,1820.960363
2026-05-13,-0.03102,0.411116,-0.031615,-0.016103,0.406188,86.199421,,109.032484,1815.878713
2026-05-14,-0.03102,0.411116,-0.031615,-0.016103,0.406188,86.653501,,107.888588,1813.808056
2026-05-15,-0.03102,0.411116,-0.031615,-0.015994,0.406188,86.962452,,106.420382,1807.727008
2026-05-18,-0.029403,0.395501,-0.031615,-0.015958,0.406186,90.768069,,100.169756,1830.95462
2026-05-19,-0.029403,0.400189,-0.031981,-0.016324,0.406185,88.132491,,105.700408,1830.758786
2026-05-20,-0.029403,0.399693,-0.031944,-0.016199,0.402164,87.174863,,107.056746,1828.755624
2026-05-21,-0.029403,0.398039,-0.031769,-0.015428,0.383038,84.381154,,112.051625,1830.447566
2026-05-22,-0.029403,0.400032,-0.031915,-0.016068,0.398919,83.197031,,114.352258,1828.951051
2026-05-25,-0.029403,0.397634,-0.031914,-0.016068,0.398904,84.283077,,112.056762,1829.779619
2026-05-26,-0.029403,0.393038,-0.031768,-0.015392,0.382982,83.333881,,112.894881,1829.687526
2026-05-27,-0.029403,0.393038,-0.031768,-0.015391,0.382963,84.396888,,110.515523,1826.367025
2026-05-28,-0.029403,0.393038,-0.031768,-0.015362,0.38296,85.522094,,107.967559,1822.647138
2026-05-29,-0.029403,0.393038,-0.031768,-0.015362,0.38296,84.623263,,110.065753,1826.057294
2026-06-01,-0.029403,0.393038,-0.031768,-0.015391,0.382964,84.66457,,109.855535,1825.106297
2026-06-02,-0.029403,0.393038,-0.031768,-0.015391,0.382967,83.142329,,112.118038,1821.870712
2026-06-03,-0.029403,0.393038,-0.031768,-0.015391,0.382962,80.528848,,116.256575,1818.089474
2026-06-04,-0.029403,0.393038,-0.031768,-0.015391,0.38297,80.440874,,116.459736,1818.407873
2026-06-05,-0.029403,0.393038,-0.031769,-0.015392,0.382984,79.811961,,117.50457,1817.839468
2026-06-08,-0.029403,0.393038,-0.031769,-0.015392,0.382992,80.951034,,114.917298,1814.01855
2026-06-09,-0.031346,0.397213,-0.03202,-0.015591,0.387934,80.390528,,116.974106,1815.751391
2026-06-10,-0.031346,0.397213,-0.03202,-0.015591,0.387934,80.925525,,115.666397,1813.373762
2026-06-11,-0.031346,0.397213,-0.03202,-0.015498,0.387933,82.705191,,112.22427,1811.75861
2026-06-12,-0.031346,0.397213,-0.03202,-0.015406,0.387929,81.484214,,115.073904,1816.250184
2026-06-15,-0.031346,0.397213,-0.03202,-0.015498,0.387932,79.630527,,118.703174,1818.237365
2026-06-16,-0.031346,0.397213,-0.03202,-0.015591,0.387935,79.797928,,117.952765,1815.128002
2026-06-17,-0.031346,0.397213,-0.03202,-0.015591,0.387935,77.606165,,121.594866,1812.978168
2026-06-18,-0.031346,0.397213,-0.03202,-0.015591,0.387938,75.474293,,125.144343,1810.934918
2026-06-19,-0.031346,0.397213,-0.03202,-0.015626,0.387942,78.209583,,119.096045,1803.198956
2026-06-22,-0.031346,0.397213,-0.03237,-0.015941,0.387937,76.80902,,121.389526,1801.590441
2026-06-23,-0.031346,0.397213,-0.03237,-0.015941,0.387937,78.60877,,117.923804,1800.062777
2026-06-24,-0.032712,0.398556,-0.03424,-0.017433,0.424243,79.557853,,116.425092,1799.739774
