date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-29,-0.042106,0.406981,-0.033792,-0.016401,0.493069,94.636415,,205.151021,2582.027541
2026-01-30,-0.042106,0.40672,-0.033792,-0.016452,0.49307,93.417607,,207.130593,2580.914808
2026-02-02,-0.042106,0.405866,-0.033792,-0.016452,0.493069,94.439418,,199.998451,2546.990888
2026-02-03,-0.042106,0.406575,-0.033792,-0.016401,0.493068,88.920698,,209.767403,2543.042111
2026-02-04,-0.042106,0.410107,-0.033792,-0.016478,0.493072,86.757537,,214.152714,2537.231231
2026-02-05,-0.042106,0.408957,-0.033802,-0.016511,0.492417,88.658301,,207.580664,2519.153776
2026-02-06,-0.042106,0.409761,-0.033798,-0.016508,0.492318,86.066313,,212.951585,2521.290887
2026-02-09,-0.042106,0.411198,-0.033801,-0.016511,0.492408,85.861374,,212.760258,2513.915186
2026-02-10,-0.042106,0.407149,-0.033792,-0.016534,0.493111,82.651785,,219.81811,2531.81961
2026-02-12,-0.042106,0.407847,-0.033602,-0.017041,0.505517,82.288952,,227.688286,2579.113082
2026-02-13,-0.042106,0.407734,-0.033602,-0.01711,0.505523,85.813696,,222.286008,2586.673779
2026-02-16,-0.042106,0.408752,-0.033763,-0.016687,0.495,89.750732,,215.535282,2587.384861
2026-02-17,-0.038793,0.409409,-0.033786,-0.016635,0.493452,90.775909,,211.830054,2573.404548
2026-02-18,-0.038793,0.409623,-0.033792,-0.016534,0.493085,88.081489,,218.006001,2581.133857
2026-02-19,-0.038793,0.410262,-0.033602,-0.017041,0.505514,85.047873,,220.03481,2555.371639
2026-02-20,-0.038793,0.410895,-0.033602,-0.01711,0.505524,87.567068,,214.487863,2547.680249
2026-02-24,-0.038793,0.411898,-0.033602,-0.01711,0.505517,90.200253,,211.265815,2556.329934
2026-02-25,-0.038793,0.410857,-0.033752,-0.016778,0.495695,91.521109,,205.442032,2535.912702
2026-02-26,-0.038793,0.406529,-0.033602,-0.01704,0.505494,86.800414,,211.828642,2530.717553
2026-02-27,-0.038793,0.406421,-0.033791,-0.016623,0.493123,85.245181,,215.449268,2536.254529
