date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.03512,0.440201,-0.029394,-0.019112,0.593387,9.218215,,35.447542,343.428
2026-01-22,-0.03512,0.443314,-0.029333,-0.019095,0.593396,9.098014,,35.880477,343.428
2026-01-23,-0.03512,0.443302,-0.029333,-0.019095,0.593396,9.436652,,35.218504,343.428
2026-01-26,-0.03512,0.444559,-0.029333,-0.019095,0.593396,9.263281,,35.637473,343.428
2026-01-27,-0.03512,0.444879,-0.029333,-0.019095,0.593398,9.269511,,35.645854,343.428
2026-01-28,-0.03512,0.445243,-0.029343,-0.019319,0.601731,9.224417,,35.757579,343.428
2026-01-29,-0.03512,0.448837,-0.028924,-0.019115,0.595373,8.859681,,36.710031,343.428
2026-01-30,-0.03512,0.4491,-0.02877,-0.018908,0.587561,8.949242,,36.550826,343.428
2026-02-02,-0.03512,0.449505,-0.02877,-0.018864,0.587558,8.719553,,37.031243,343.428
2026-02-03,-0.03512,0.449484,-0.02877,-0.018864,0.587558,9.071113,,36.335754,343.428
2026-02-04,-0.03512,0.450175,-0.02877,-0.018864,0.587555,8.820086,,36.877621,343.428
2026-02-05,-0.03512,0.447441,-0.02662,-0.016317,0.563795,9.198763,,35.950306,343.428
2026-02-06,-0.03512,0.449084,-0.027186,-0.016882,0.563793,8.737781,,36.967003,343.428
2026-02-09,-0.03512,0.449662,-0.027186,-0.016882,0.563794,8.484494,,37.506074,343.428
2026-02-10,-0.03512,0.450004,-0.027186,-0.016924,0.563795,8.786045,,36.933482,343.428
2026-02-11,-0.03512,0.451133,-0.027186,-0.016924,0.563794,8.911832,,36.76031,343.428
2026-02-12,-0.03512,0.452296,-0.027186,-0.016924,0.563795,9.697112,,35.279953,343.428
2026-02-13,-0.03512,0.455356,-0.028446,-0.018143,0.563792,9.56411,,35.743613,343.428
2026-02-17,-0.03512,0.455325,-0.028446,-0.018185,0.563793,9.558885,,35.751992,343.428
2026-02-18,-0.03512,0.455706,-0.028446,-0.018143,0.563793,9.336428,,36.221235,343.428
2026-02-19,-0.03512,0.45595,-0.028446,-0.018185,0.563793,9.597599,,35.715682,343.428
2026-02-20,-0.03512,0.456099,-0.028446,-0.018143,0.563792,9.592741,,35.735234,343.428
2026-02-23,-0.03512,0.455819,-0.028446,-0.018143,0.563792,9.97645,,34.950364,343.428
2026-02-24,-0.03512,0.456837,-0.028446,-0.018143,0.563791,9.716093,,35.536922,343.428
2026-02-25,-0.03615,0.458766,-0.028446,-0.018185,0.563793,9.168583,,36.763101,343.428
2026-02-26,-0.03615,0.460383,-0.028447,-0.0182,0.563795,9.133148,,36.944657,343.428
2026-02-27,-0.03615,0.459494,-0.028447,-0.018209,0.563796,9.609898,,35.925164,343.428
