date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-23,-0.029376,0.503719,-0.021558,-0.012719,0.403706,16.832252,,126.235627,930.859363
2026-01-26,-0.029376,0.503885,-0.021558,-0.012514,0.403706,16.530668,,128.380166,939.083094
2026-01-27,-0.029376,0.5037,-0.021558,-0.012514,0.403705,15.284124,,131.312485,940.510657
2026-01-28,-0.029376,0.504252,-0.021558,-0.012719,0.403706,16.862048,,129.959639,951.689108
2026-01-29,-0.029376,0.506664,-0.021558,-0.012718,0.403706,17.109818,,129.49259,948.531516
2026-01-30,-0.029376,0.505804,-0.021558,-0.012514,0.403705,16.005117,,131.52922,947.578139
2026-02-02,-0.029376,0.505962,-0.021558,-0.012514,0.403705,14.546354,,133.156306,938.348639
2026-02-03,-0.029376,0.507052,-0.021558,-0.012718,0.403706,13.320063,,135.449661,934.351992
2026-02-04,-0.029376,0.506466,-0.021625,-0.01274,0.404376,13.668088,,134.76554,935.731975
2026-02-05,-0.029376,0.506466,-0.021625,-0.012535,0.404374,16.217487,,128.948391,934.583563
2026-02-06,-0.029376,0.510397,-0.021736,-0.012645,0.404374,15.911893,,130.327916,932.701261
2026-02-09,-0.029376,0.509785,-0.021736,-0.01285,0.404375,12.151533,,139.176089,936.495507
2026-02-10,-0.029376,0.514955,-0.020846,-0.011714,0.363138,14.559783,,136.373926,942.693916
2026-02-11,-0.029376,0.51578,-0.020846,-0.01154,0.363137,16.199145,,132.721023,941.550695
2026-02-12,-0.029376,0.516353,-0.020846,-0.01154,0.363137,16.606432,,131.769924,940.477238
2026-02-13,-0.029376,0.514958,-0.020846,-0.011356,0.363136,18.654046,,126.694416,939.87438
2026-02-16,-0.029376,0.517872,-0.020827,-0.011615,0.366691,18.684839,,127.376554,939.796403
2026-02-17,-0.029376,0.518109,-0.020827,-0.011615,0.366691,17.552722,,129.741558,938.404242
2026-02-18,-0.029376,0.519517,-0.020827,-0.011688,0.366691,16.547664,,132.423627,938.560007
2026-02-19,-0.029376,0.519702,-0.020827,-0.011874,0.366692,17.893207,,128.526252,933.569957
2026-02-20,-0.029376,0.526363,-0.020827,-0.011874,0.366692,17.820694,,130.213662,932.009664
2026-02-23,-0.029376,0.526185,-0.020827,-0.011874,0.366692,18.076196,,130.53213,937.204852
2026-02-24,-0.029376,0.525912,-0.020827,-0.011688,0.366691,18.735395,,128.351366,933.966261
2026-02-25,-0.029376,0.525687,-0.020827,-0.011615,0.366691,17.587434,,130.65119,932.492536
2026-02-26,-0.029376,0.526991,-0.020827,-0.011688,0.366691,18.096663,,130.422324,935.654659
2026-02-27,-0.029376,0.527054,-0.020827,-0.011688,0.366691,19.123243,,127.903778,934.693825
2026-03-02,-0.029376,0.527698,-0.020827,-0.011688,0.366691,20.756122,,123.68479,931.242545
2026-03-03,-0.029965,0.527033,-0.021577,-0.012384,0.381458,23.049587,,117.334969,926.318861
2026-03-04,-0.036369,0.525826,-0.022809,-0.013352,0.406943,21.356148,,119.683333,919.585187
2026-03-05,-0.036369,0.525011,-0.022809,-0.013352,0.406943,25.506094,,112.496987,933.32668
2026-03-06,-0.035882,0.527034,-0.022809,-0.013352,0.406943,26.245593,,110.872365,931.116586
2026-03-09,-0.035882,0.526728,-0.022809,-0.013352,0.406943,26.769387,,108.347827,924.314092
2026-03-10,-0.035882,0.526582,-0.022809,-0.013295,0.406943,24.254065,,115.474188,931.852105
2026-03-11,-0.035134,0.529202,-0.022224,-0.012996,0.403634,25.398931,,113.385656,931.376007
2026-03-12,-0.035135,0.523013,-0.022559,-0.013232,0.412792,26.459446,,108.502083,925.914505
2026-03-13,-0.035135,0.524368,-0.022526,-0.013186,0.405359,27.688485,,105.686523,924.186247
2026-03-16,-0.035134,0.524417,-0.022526,-0.013186,0.405355,25.523122,,109.376819,917.242998
2026-03-17,-0.029783,0.522709,-0.02228,-0.012996,0.40543,25.267128,,110.510012,922.411421
2026-03-18,-0.029783,0.522118,-0.02256,-0.013291,0.412797,25.484583,,110.461622,925.615306
2026-03-19,-0.029783,0.520688,-0.022279,-0.012996,0.405418,26.598553,,106.514318,919.598531
2026-03-20,-0.034837,0.520068,-0.02231,-0.013027,0.405395,28.622485,,103.436539,928.669448
2026-03-23,-0.035739,0.520658,-0.021931,-0.012566,0.386297,27.115534,,106.727836,927.273856
2026-03-24,-0.035739,0.521743,-0.022522,-0.013183,0.405253,27.401529,,107.004907,931.04095
2026-03-25,-0.035739,0.520862,-0.02193,-0.012516,0.386284,26.657522,,108.605883,931.646519
2026-03-26,-0.035739,0.520702,-0.021931,-0.012566,0.386301,27.474318,,105.943359,927.381143
2026-03-27,-0.035739,0.519391,-0.02252,-0.013181,0.405188,28.0024,,104.076811,925.263037
2026-03-30,-0.035739,0.519647,-0.021931,-0.012566,0.386295,28.211367,,103.033791,921.807191
2026-03-31,-0.035739,0.518823,-0.02193,-0.012516,0.386283,27.279643,,104.498231,919.240143
2026-04-01,-0.035739,0.517729,-0.02193,-0.012516,0.386273,24.806205,,111.487691,928.400752
2026-04-02,-0.035739,0.521889,-0.022524,-0.013185,0.405321,26.513615,,108.814695,929.713536
2026-04-07,-0.035739,0.522797,-0.022522,-0.013182,0.405245,26.688625,,107.901696,925.754148
2026-04-08,-0.035739,0.520923,-0.022525,-0.013185,0.405328,23.039445,,117.875885,937.417069
2026-04-09,-0.035394,0.521622,-0.022593,-0.013266,0.412821,23.391934,,116.84984,935.231072
2026-04-10,-0.035394,0.521549,-0.022592,-0.013207,0.412796,22.191295,,120.024734,937.789609
2026-04-13,-0.035394,0.521946,-0.022593,-0.013266,0.412826,22.466016,,119.264641,936.497671
2026-04-14,-0.0314,0.515913,-0.022514,-0.013186,0.412885,20.267113,,124.065902,944.01436
2026-04-15,-0.0209,0.502422,-0.023221,-0.013609,0.433312,18.905417,,124.105087,946.464845
2026-04-16,-0.020536,0.517571,-0.021385,-0.012248,0.389984,21.45312,,122.402955,947.247218
2026-04-17,-0.020536,0.521216,-0.021385,-0.012193,0.389982,21.107601,,123.734032,945.126722
2026-04-20,-0.019834,0.53658,-0.021384,-0.012249,0.389998,24.350518,,119.605348,941.797573
2026-04-21,-0.019834,0.531258,-0.021646,-0.012455,0.389989,24.5984,,118.314795,945.260305
2026-04-22,-0.019834,0.530802,-0.021646,-0.012455,0.38999,25.475366,,115.571546,942.040929
2026-04-23,-0.019834,0.531514,-0.021646,-0.0124,0.389985,26.397765,,113.038148,938.975217
2026-04-24,-0.019834,0.530505,-0.021645,-0.01235,0.389982,26.575761,,112.053946,937.197905
2026-04-27,-0.019834,0.530937,-0.021645,-0.01234,0.389973,26.384101,,112.936887,939.008206
2026-04-28,-0.019834,0.529965,-0.021643,-0.012349,0.389929,25.273132,,115.525036,940.373295
2026-04-29,-0.019834,0.528878,-0.021531,-0.012082,0.381521,25.175931,,115.399316,939.921485
2026-04-30,-0.019834,0.532567,-0.021531,-0.01207,0.381465,25.578113,,114.880427,937.263693
2026-05-04,-0.019834,0.530778,-0.021531,-0.01207,0.381463,26.663287,,112.551765,940.626883
2026-05-05,-0.022246,0.528441,-0.021646,-0.012124,0.383723,23.485601,,118.80552,937.844496
2026-05-06,-0.022246,0.53365,-0.021646,-0.012124,0.383727,21.754304,,124.524391,939.756251
2026-05-07,-0.022246,0.535254,-0.021646,-0.012126,0.383786,24.586074,,125.670496,978.981524
2026-05-08,-0.022246,0.533089,-0.021647,-0.012142,0.383719,24.982464,,123.919002,977.660745
2026-05-11,-0.022246,0.534024,-0.021647,-0.012123,0.383717,24.994955,,124.718329,980.767332
2026-05-12,-0.022246,0.533704,-0.021647,-0.012142,0.383718,25.451094,,123.741572,981.691529
2026-05-13,-0.021126,0.532306,-0.022345,-0.011561,0.365922,24.401988,,125.120205,977.982024
2026-05-15,-0.021126,0.531801,-0.022345,-0.011579,0.365925,24.116441,,124.512823,971.86879
2026-05-18,-0.021126,0.530605,-0.022345,-0.011561,0.36592,23.731146,,124.351795,967.895427
2026-05-19,-0.021126,0.530384,-0.022345,-0.011561,0.365919,24.543472,,123.041782,971.291006
2026-05-20,-0.021126,0.527636,-0.022345,-0.011505,0.365913,22.764673,,125.682503,967.288833
2026-05-21,-0.021126,0.527189,-0.022345,-0.011561,0.365918,23.953288,,123.110298,968.806909
2026-05-22,-0.021126,0.528399,-0.022345,-0.011505,0.365913,23.001408,,125.555824,968.457913
2026-05-26,-0.021126,0.528949,-0.022345,-0.011561,0.365916,22.07701,,128.085013,969.810283
2026-05-27,-0.021126,0.527447,-0.022345,-0.011505,0.365914,22.179435,,127.433949,969.765181
2026-05-28,-0.021126,0.527462,-0.022345,-0.011443,0.365912,22.281359,,126.913359,968.187797
2026-05-29,-0.021126,0.527295,-0.022345,-0.011381,0.36591,21.318927,,129.616975,971.098576
2026-06-01,-0.021126,0.527072,-0.022345,-0.011443,0.365912,21.680084,,128.665626,970.770542
2026-06-02,-0.021126,0.527033,-0.022345,-0.011443,0.365913,20.732567,,130.626831,969.652326
2026-06-03,-0.020605,0.526034,-0.021952,-0.011113,0.365918,21.674552,,127.986461,968.536693
2026-06-04,-0.020605,0.5278,-0.021952,-0.011051,0.365914,21.352393,,129.012185,967.479673
2026-06-05,-0.020605,0.527529,-0.021952,-0.011051,0.365915,22.097518,,127.273462,967.749392
2026-06-08,-0.020605,0.529203,-0.021952,-0.010989,0.365912,23.219948,,123.748673,960.244746
2026-06-09,-0.020605,0.529422,-0.021952,-0.010867,0.36591,23.301552,,123.707812,960.73183
